#           L                      F_max                  F_away

5.000000000000000000e+01 2.149382735825605778e+04 1.271349326176586828e+03
6.000000000000000000e+01 3.101339310958596616e+04 1.504860242830533025e+03
7.000000000000000000e+01 4.226745817945631279e+04 1.697965275737814409e+03
8.000000000000000000e+01 5.525189970079451450e+04 1.852479596833401956e+03
9.000000000000000000e+01 6.996197379596529936e+04 1.975017333170643951e+03
1.000000000000000000e+02 8.639234000458210357e+04 2.072392133320047378e+03
1.100000000000000000e+02 1.045370262179604470e+05 2.150316414601145880e+03
1.200000000000000000e+02 1.243894405803938425e+05 2.213283773859636767e+03
1.300000000000000000e+02 1.459424274057630682e+05 2.264464303601466327e+03
1.400000000000000000e+02 1.691882006590351812e+05 2.305911924525275026e+03
1.500000000000000000e+02 1.941184144606676709e+05 2.347963903633566588e+03
1.600000000000000000e+02 2.207240167815743480e+05 2.376706699221515464e+03
1.700000000000000000e+02 2.489956121125816717e+05 2.352792531243742360e+03
1.800000000000000000e+02 2.789231537186673377e+05 2.380644264501888756e+03
1.900000000000000000e+02 3.104957645530693699e+05 2.451772099490220626e+03
2.000000000000000000e+02 3.437026751331384876e+05 2.189381481319016530e+03
