#      theta/pi                     QFI                     CFI

1.000000000000000021e-03 3.406432914033628094e+02 2.532866479755295472e+02
2.000000000000000042e-03 3.375819320588327628e+02 2.507166365971424966e+02
3.000000000000000062e-03 3.345305631533350947e+02 2.472094359142233770e+02
4.000000000000000083e-03 3.314979989509167808e+02 2.427474934050220554e+02
5.000000000000000104e-03 3.284926564259527595e+02 2.373718482305331747e+02
6.000000000000000125e-03 3.255223490242151456e+02 2.312467223494753625e+02
7.000000000000000146e-03 3.225941058714538485e+02 2.247204023450297825e+02
8.000000000000000167e-03 3.197140195042212554e+02 2.183481318972519034e+02
9.000000000000001055e-03 3.168871242635640897e+02 2.128291424834443433e+02
1.000000000000000021e-02 3.141173065987259179e+02 2.088316735328957350e+02
1.099999999999999763e-02 3.114072476726828995e+02 2.067683629337552986e+02
1.200000000000000025e-02 3.087583978811555312e+02 2.066907822273803674e+02
1.300000000000000287e-02 3.061709821826577240e+02 2.083745118592749748e+02
1.400000000000000029e-02 3.036440345175097377e+02 2.112328392043137342e+02
1.499999999999999944e-02 3.011754590555947857e+02 2.145040647997397798e+02
1.600000000000000033e-02 2.987621155612401367e+02 2.177188164922530120e+02
1.700000000000000122e-02 2.963999257905481386e+02 2.206287819292028303e+02
1.800000000000000211e-02 2.940839975614860577e+02 2.231039049591874743e+02
1.899999999999999953e-02 2.918087629247110044e+02 2.250914376591551047e+02
2.000000000000000042e-02 2.895681267279385906e+02 2.265853017071288207e+02
2.100000000000000130e-02 2.873556218195994347e+02 2.276024645886183748e+02
2.199999999999999525e-02 2.851645671336561918e+02 2.281671197765473096e+02
2.299999999999999961e-02 2.829882249963112599e+02 2.283011962786420384e+02
2.400000000000000050e-02 2.808199541315804595e+02 2.280193205353432688e+02
2.500000000000000139e-02 2.786533550639533701e+02 2.273268423571837786e+02
2.600000000000000575e-02 2.764824048883120895e+02 2.262198006409869038e+02
2.699999999999999969e-02 2.743015787174052207e+02 2.246855643051896436e+02
2.800000000000000058e-02 2.721059555007145150e+02 2.227057139268145249e+02
2.900000000000000147e-02 2.698913063362361413e+02 2.202772863402579162e+02
2.999999999999999889e-02 2.676541638709976496e+02 2.174887390121438671e+02
3.099999999999999631e-02 2.653918718653802671e+02 2.146532100708160726e+02
3.200000000000000067e-02 2.631026145037764081e+02 2.123420578683679310e+02
3.300000000000000155e-02 2.607854255291555319e+02 2.110630375390333882e+02
3.400000000000000244e-02 2.584401777582691579e+02 2.107901161338982092e+02
3.500000000000000333e-02 2.560675539911565579e+02 2.110088470618931922e+02
3.600000000000000422e-02 2.536690007306951600e+02 2.111886405655098713e+02
3.699999999999999817e-02 2.512466664913669661e+02 2.110427467632013361e+02
3.799999999999999906e-02 2.488033267650621383e+02 2.104819692441479333e+02
3.899999999999999994e-02 2.463422979427012649e+02 2.094812575698713886e+02
4.000000000000000083e-02 2.438673426433547320e+02 2.079255537089782706e+02
4.100000000000000172e-02 2.413825689824486744e+02 2.075243401620180350e+02
4.200000000000000261e-02 2.388923263299504640e+02 2.075944251391161117e+02
4.300000000000000350e-02 2.364011000497182238e+02 2.054971992885653833e+02
4.399999999999999051e-02 2.339134076006432394e+02 2.035784531799153001e+02
4.499999999999999833e-02 2.314336982191307754e+02 2.016854010256358833e+02
4.599999999999999922e-02 2.289662581907598735e+02 1.997769756360930558e+02
4.700000000000000011e-02 2.265151234901599366e+02 1.978446724527465506e+02
4.800000000000000100e-02 2.240840012984827183e+02 1.958885391305547330e+02
4.900000000000000189e-02 2.216762016418800272e+02 1.939100033430563315e+02
5.000000000000000278e-02 2.192945801152879426e+02 1.919087919920652325e+02
5.099999999999999672e-02 2.169414923814813676e+02 1.898803508084173188e+02
5.200000000000001149e-02 2.146187608748371360e+02 1.878113511188207951e+02
5.299999999999999850e-02 2.123276538921731174e+02 1.856682912355173869e+02
5.399999999999999939e-02 2.100688770229226634e+02 1.833601221344371197e+02
5.500000000000000028e-02 2.078425766694588788e+02 1.805743743065185924e+02
5.600000000000000117e-02 2.056483552291650767e+02 1.849452377866789732e+02
5.700000000000000899e-02 2.034852973512828953e+02 1.845091200293132090e+02
5.800000000000000294e-02 2.013520065623771700e+02 1.792559515697872143e+02
5.900000000000000383e-02 1.992466514456804987e+02 1.765597745087850683e+02
