#      theta/pi                     QFI                     CFI

9.010000000000001341e-02 2.881040523732943711e+03 2.871295756128286030e+03
9.019999999999998852e-02 2.921955731546342122e+03 2.912823841076768076e+03
9.030000000000000526e-02 2.963756258414131480e+03 2.955248923212003774e+03
9.039999999999998037e-02 3.006463880221388536e+03 2.998593412324320980e+03
9.049999999999998324e-02 3.050102393607578961e+03 3.042881468836384556e+03
9.059999999999999998e-02 3.094695835385419286e+03 3.088137637519750569e+03
9.070000000000000284e-02 3.140269343559530171e+03 3.134387512350151610e+03
9.079999999999999183e-02 3.186849078359080522e+03 3.181658089833576014e+03
9.089999999999999469e-02 3.234462267737381808e+03 3.229977174519037817e+03
9.099999999999999756e-02 3.283137511780922523e+03 3.279374026339743068e+03
9.110000000000000042e-02 3.332904766803406346e+03 3.329879723245829609e+03
9.120000000000000329e-02 3.383795692923608840e+03 3.381526800205520885e+03
9.129999999999999227e-02 3.435843859762961984e+03 3.434349977906600088e+03
9.139999999999999514e-02 3.489084930774715303e+03 3.488386129020662338e+03
9.149999999999999800e-02 3.543557158929449542e+03 3.543675299433235978e+03
9.160000000000000087e-02 3.599301954267638848e+03 3.600260574839585843e+03
9.170000000000000373e-02 3.656363884165125000e+03 3.658188504386987461e+03
9.179999999999999272e-02 3.714791841033082619e+03 3.717510745949475677e+03
9.189999999999999558e-02 3.774639564717450412e+03 3.778283836846153918e+03
9.199999999999999845e-02 3.835966454386839814e+03 3.840570521722589092e+03
9.210000000000000131e-02 3.898838855992909430e+03 3.904441579303938852e+03
9.220000000000001805e-02 3.963331196754542816e+03 3.969976201884899183e+03
9.229999999999999316e-02 4.029527651216075355e+03 4.037264292629612555e+03
9.239999999999999603e-02 4.097523964898262420e+03 4.106408894608544870e+03
9.250000000000001277e-02 4.167429760887499469e+03 4.177527826931749587e+03
9.259999999999998788e-02 4.239371234332492349e+03 4.250757151959992370e+03
9.270000000000000462e-02 4.313494400958800725e+03 4.326255109879163683e+03
9.279999999999997973e-02 4.389969026205489172e+03 4.404205476681866458e+03
9.289999999999998259e-02 4.468993369340900244e+03 4.484823913320018619e+03
9.299999999999999933e-02 4.550799559578234039e+03 4.568362723801991706e+03
9.310000000000000220e-02 4.635660698755011254e+03 4.655119806424090712e+03
9.319999999999999118e-02 4.723898521468057879e+03 4.745445933228935246e+03
9.329999999999999405e-02 4.815893281323014889e+03 4.839756556834460753e+03
9.339999999999999691e-02 4.912095075942063886e+03 4.938543921434040385e+03
