#           L                      F_max                  F_away

5.000000000000000000e+01 4.593001142046513451e+03 6.588297060082686585e+02
6.000000000000000000e+01 6.497589510901682843e+03 6.767006299042099045e+02
7.000000000000000000e+01 8.742386723300369340e+03 6.831539890442636533e+02
8.000000000000000000e+01 1.132713614862762370e+04 6.853435992812006816e+02
9.000000000000000000e+01 1.425044213361082802e+04 6.860537246579831390e+02
1.000000000000000000e+02 1.750946106841674191e+04 6.862763079372394941e+02
1.100000000000000000e+02 2.111341995642838083e+04 6.863442414747174780e+02
1.200000000000000000e+02 2.505116985737729556e+04 6.863645368006133367e+02
1.300000000000000000e+02 2.931887777202194411e+04 6.863704947503789526e+02
1.400000000000000000e+02 3.393796824948993890e+04 6.863722183580322280e+02
1.500000000000000000e+02 3.889573658139494364e+04 6.863727108938544461e+02
1.600000000000000000e+02 4.418853985934447701e+04 6.863728500923798492e+02
1.700000000000000000e+02 4.981566980595987116e+04 6.863728890946043748e+02
1.800000000000000000e+02 5.577637453497483511e+04 6.863728999295556150e+02
1.900000000000000000e+02 6.206985871073149610e+04 6.863729029262655104e+02
2.000000000000000000e+02 6.869528374994991464e+04 6.863729037271880316e+02
