#      theta/pi                     QFI                     CFI

6.510000000000001341e-01 1.806818041289943153e+02 1.389639954607540346e+02
6.520000000000000240e-01 1.815661687918861844e+02 1.419348162085095453e+02
6.529999999999999138e-01 1.824613539639189241e+02 1.448141159240312561e+02
6.540000000000000258e-01 1.833675643909329267e+02 1.475151259194255431e+02
6.550000000000000266e-01 1.842850103195762017e+02 1.499881423495170623e+02
6.560000000000000275e-01 1.852139076641930160e+02 1.522083162859408390e+02
6.570000000000000284e-01 1.861544781659736714e+02 1.541653672313068455e+02
6.580000000000000293e-01 1.871069495451746718e+02 1.558557238866453645e+02
6.590000000000000302e-01 1.880715556494693317e+02 1.572766898228181560e+02
6.600000000000000311e-01 1.890485365945592946e+02 1.584220391691584666e+02
6.610000000000000320e-01 1.900381389049207428e+02 1.592788669451112469e+02
6.620000000000001439e-01 1.910406156568007248e+02 1.598259777349219632e+02
6.630000000000000338e-01 1.920562266262077173e+02 1.600339701032178255e+02
6.639999999999999236e-01 1.930852384500859955e+02 1.598669860505401914e+02
6.650000000000000355e-01 1.941279248049035289e+02 1.592866827004669972e+02
6.660000000000000364e-01 1.951845666138566457e+02 1.582599870072399142e+02
6.670000000000000373e-01 1.962554522830074575e+02 1.567726847151434981e+02
6.680000000000000382e-01 1.973408779816515164e+02 1.548501589577076913e+02
6.690000000000000391e-01 1.984411479740257960e+02 1.525839136383973766e+02
6.700000000000000400e-01 1.995565750027615195e+02 1.501573474329431690e+02
6.710000000000001519e-01 2.006874807410905248e+02 1.478576623588382972e+02
6.720000000000000417e-01 2.018341963135346191e+02 1.460562371712515244e+02
6.729999999999999316e-01 2.029970628889484203e+02 1.451425037481376989e+02
6.740000000000000435e-01 2.041764323534290781e+02 1.454158674428549602e+02
6.750000000000000444e-01 2.053726680570639473e+02 1.469788477650295704e+02
6.760000000000000453e-01 2.065861456388809074e+02 1.496977558326069300e+02
6.770000000000000462e-01 2.078172539196067987e+02 1.532606912075746948e+02
6.780000000000000471e-01 2.090663958596696830e+02 1.572925961152308219e+02
6.790000000000000480e-01 2.103339895706110667e+02 1.614580050339762636e+02
6.800000000000001599e-01 2.116204693704585793e+02 1.655121183853839284e+02
6.810000000000000497e-01 2.129262868666812665e+02 1.693036089699786260e+02
6.819999999999999396e-01 2.142519120558380621e+02 1.727518475329740966e+02
6.830000000000000515e-01 2.155978344259261235e+02 1.758193788945280289e+02
6.840000000000000524e-01 2.169645640446454706e+02 1.784906824597151171e+02
6.850000000000000533e-01 2.183526326270107063e+02 1.807582667539985266e+02
6.860000000000000542e-01 2.197625945716905278e+02 1.826132966640127790e+02
6.870000000000000551e-01 2.211950279665705921e+02 1.840391973319468661e+02
6.880000000000000560e-01 2.226505355616941983e+02 1.850079239088973395e+02
6.890000000000001679e-01 2.241297457272645772e+02 1.854791466635163601e+02
6.900000000000000577e-01 2.256333134093074193e+02 1.854034837739913826e+02
6.909999999999999476e-01 2.271619211197100299e+02 1.847320030635672765e+02
6.920000000000000595e-01 2.287162799911891966e+02 1.834342566902268175e+02
6.930000000000000604e-01 2.302971309504625594e+02 1.815239594531622345e+02
6.940000000000000613e-01 2.319052460715827522e+02 1.790850633939047611e+02
6.950000000000000622e-01 2.335414301695929851e+02 1.762903184737373010e+02
6.960000000000000631e-01 2.352065227136519923e+02 1.734194066495170716e+02
6.970000000000000639e-01 2.369014001330156987e+02 1.708887338402543605e+02
6.980000000000001759e-01 2.386269786048324306e+02 1.692569920194062831e+02
6.990000000000000657e-01 2.403842173896699137e+02 1.691198596903559803e+02
6.999999999999999556e-01 2.421741227950018072e+02 1.708740328296071596e+02
7.010000000000000675e-01 2.439977528247874545e+02 1.745011002611763899e+02
7.020000000000000684e-01 2.458562225590611945e+02 1.795658787426884828e+02
7.030000000000000693e-01 2.477507102966927448e+02 1.854293766010683839e+02
7.040000000000000702e-01 2.496824644568190763e+02 1.914927858939697956e+02
7.050000000000000711e-01 2.516528112289589956e+02 1.973270179410575906e+02
7.060000000000000719e-01 2.536631629206949583e+02 2.026817433339669776e+02
7.070000000000001839e-01 2.557150269354740715e+02 2.074360438632144223e+02
7.080000000000000737e-01 2.578100152879719644e+02 2.115414294392314787e+02
7.089999999999999636e-01 2.599498545569495036e+02 2.149770465133964024e+02
7.100000000000000755e-01 2.621363961591529232e+02 2.177213328367695624e+02
7.110000000000000764e-01 2.643716268493178063e+02 2.197435136454563462e+02
7.120000000000000773e-01 2.666576793597038773e+02 2.210159822073404428e+02
7.130000000000000782e-01 2.689968431442451333e+02 2.215484925419218030e+02
7.140000000000000790e-01 2.713915752523321885e+02 2.214131886087075998e+02
7.150000000000000799e-01 2.738445114399017370e+02 2.206922079111033668e+02
7.160000000000000808e-01 2.763584777361968463e+02 2.193617882641680410e+02
7.170000000000000817e-01 2.789365028076700241e+02 2.172516099442045174e+02
7.180000000000001936e-01 2.815818316197410809e+02 2.142473892749488584e+02
7.190000000000000835e-01 2.842979410370116398e+02 2.106725387538736811e+02
7.199999999999999734e-01 2.870885581934570041e+02 2.075638959640286316e+02
