#      theta/pi                     QFI                     CFI

7.701000000000000068e-01 1.915253524814844241e+03 1.862129461045497465e+03
7.701999999999998847e-01 1.941995944715711630e+03 1.891051490140088845e+03
7.702999999999999847e-01 1.969886115952310547e+03 1.921100271367060486e+03
7.703999999999999737e-01 1.998966529706959591e+03 1.952321713371533860e+03
7.704999999999999627e-01 2.029282413621585874e+03 1.984764416284002209e+03
7.706000000000000627e-01 2.060881877043665554e+03 2.018479860307584204e+03
7.707000000000000517e-01 2.093816072056634766e+03 2.053522578351329685e+03
7.708000000000000407e-01 2.128139363189962751e+03 2.089950337357221088e+03
7.709000000000001407e-01 2.163909508148656187e+03 2.127824330320720492e+03
7.710000000000000187e-01 2.201187852837881564e+03 2.167209382505325266e+03
7.711000000000000076e-01 2.240039535791675007e+03 2.208174167259996921e+03
7.711999999999999966e-01 2.280533708183646922e+03 2.250791465627531124e+03
7.712999999999999856e-01 2.322743765667037678e+03 2.295138299487932727e+03
7.713999999999998636e-01 2.366747592903548139e+03 2.341296346073167570e+03
7.715000000000000746e-01 2.412627822414282946e+03 2.389352105273521829e+03
7.716000000000000636e-01 2.460472109017183811e+03 2.439397209704354282e+03
7.717000000000001636e-01 2.510373412899128198e+03 2.491528718231842049e+03
7.718000000000000416e-01 2.562430301815677467e+03 2.545849428447496848e+03
7.719000000000000306e-01 2.616747263693814602e+03 2.602468199141358582e+03
7.720000000000000195e-01 2.673435029849157218e+03 2.661500282931846414e+03
7.721000000000001195e-01 2.732610914419600704e+03 2.723067674310016628e+03
7.721999999999999975e-01 2.794399160750788269e+03 2.787299463780045244e+03
7.722999999999999865e-01 2.858931295939288702e+03 2.854332199341337855e+03
7.723999999999999755e-01 2.926346496611190560e+03 2.924310280892271294e+03
7.724999999999999645e-01 2.996791953179841585e+03 2.997386238055790272e+03
7.726000000000000645e-01 3.070423239237591133e+03 3.073721232606215381e+03
7.727000000000000535e-01 3.147404675971013148e+03 3.153485337474021890e+03
7.728000000000000425e-01 3.227909689574810727e+03 3.236857911369956582e+03
7.728999999999999204e-01 3.312121155243514750e+03 3.324027935931818774e+03
7.730000000000000204e-01 3.400231718944338354e+03 3.415194326862976595e+03
7.731000000000000094e-01 3.492444096296243515e+03 3.510566217150108969e+03
