#     theta/pi                    M=1000                   M=10000                 M=25000

8.999999999999999667e-02 7.662777541281205332e-13 9.391750371947139615e-101 3.767162563938730515e-257
9.010000000000001341e-02 1.283182299183081502e-12 1.282206936023992315e-98 1.037741724637750267e-251
9.019999999999998852e-02 2.138354135559276800e-12 1.673481843099084052e-96 2.552506209042856158e-246
9.030000000000000526e-02 3.546050685360382855e-12 2.087309370574537352e-94 5.601147644496381434e-241
9.040000000000000813e-02 5.851526282755958119e-12 2.487176878424499219e-92 1.095591490701489267e-235
9.050000000000001099e-02 9.608091773192465688e-12 2.830291364980451122e-90 1.908574771006869963e-230
9.060000000000001386e-02 1.569761642059883799e-11 3.074754033823964453e-88 2.958591035577496937e-225
9.070000000000000284e-02 2.551782646214284024e-11 3.187822159485999408e-86 4.077567989716139154e-220
9.080000000000000571e-02 4.127165101764462187e-11 3.153055375383593675e-84 4.992089364724230294e-215
9.090000000000000857e-02 6.641145521302170327e-11 2.974212013821170347e-82 5.424402241870900700e-210
9.099999999999999756e-02 1.063168105326117814e-10 2.674630446517151756e-80 5.226761104733910750e-205
9.110000000000000042e-02 1.693220346307024578e-10 2.292216691302334304e-78 4.462178163177292256e-200
9.120000000000000329e-02 2.682640261573223051e-10 1.871526135983537937e-76 3.372224549239148906e-195
9.130000000000000615e-02 4.227987244668892657e-10 1.455233398795027995e-74 2.254046800766816626e-190
9.140000000000000902e-02 6.628451021869757187e-10 1.077243971674027232e-72 1.331397196796541480e-185
9.149999999999999800e-02 1.033671428579231033e-09 7.589065205180917090e-71 6.943397569586002008e-181
9.160000000000000087e-02 1.603356237096846824e-09 5.086317744573614257e-69 3.194314833302353924e-176
9.170000000000000373e-02 2.473657839127482249e-09 3.241962711110336166e-67 1.295229291609369330e-171
9.179999999999999272e-02 3.795739701758715304e-09 1.964492662276961616e-65 4.624889462389253548e-167
9.189999999999999558e-02 5.792760832475006633e-09 1.131304466299736834e-63 1.452998144377437351e-162
9.199999999999999845e-02 8.792096208856063122e-09 6.189341984192794968e-62 4.012933323057082861e-158
9.210000000000000131e-02 1.327095891486730624e-08 3.215844098829613562e-60 9.734582684724490987e-154
