#     theta/pi                    M=1000                   M=10000                 M=25000

6.900000000000000577e-01 3.733140971032327976e-20 1.815960183497022473e-115 9.931719458369564140e-298
6.901000000000000467e-01 7.131082316139770664e-20 2.808847539214794000e-113 3.806116535583738823e-292
6.902000000000001467e-01 1.355983247765029644e-19 4.154723987339031153e-111 1.305021958708909891e-286
6.903000000000001357e-01 2.566635503276742718e-19 5.876052495971294593e-109 4.001967092626115559e-281
6.904000000000000137e-01 4.835910916576637736e-19 7.945043380966140222e-107 1.097215297513709191e-275
6.905000000000000027e-01 9.069636239553263994e-19 1.026861687055535413e-104 2.688539089354220752e-270
6.906000000000001027e-01 1.693137492828479432e-18 1.268443037202664718e-102 5.885608098915743381e-265
6.907000000000000917e-01 3.146144761391531528e-18 1.497310626632566607e-100 1.150699520649578178e-259
6.908000000000000806e-01 5.818923746531631534e-18 1.688782216543149932e-98 2.008510180978914528e-254
6.909000000000000696e-01 1.071217179710892766e-17 1.819681466707165314e-96 3.128775038317339790e-249
6.909999999999999476e-01 1.962803101058218939e-17 1.872908491516375794e-94 4.348207669069237062e-244
6.911000000000000476e-01 3.579593948787193911e-17 1.841098293593083578e-92 5.389271339623497586e-239
6.912000000000000366e-01 6.497437839718955208e-17 1.728290234920385847e-90 5.955011270102971986e-234
6.913000000000000256e-01 1.173803469908916620e-16 1.549087666008940927e-88 5.864318513401792805e-229
6.914000000000001256e-01 2.110508547595111350e-16 1.325548271769708450e-86 5.144999225768023659e-224
6.915000000000001146e-01 3.776686441369268365e-16 1.082720143682053579e-84 4.020100939856407147e-219
6.915999999999999925e-01 6.726056014260185347e-16 8.440713448375565343e-83 2.796560740515153184e-214
6.916999999999999815e-01 1.192146009973896379e-15 6.279510427881431188e-81 1.731408982797353490e-209
6.918000000000000815e-01 2.102865775271433392e-15 4.457566005132078062e-79 9.537099548974366022e-205
6.919000000000000705e-01 3.691480133410796081e-15 3.018819045307877503e-77 4.672270678752529569e-200
6.920000000000000595e-01 6.448967302767131615e-15 1.950230157831234173e-75 2.035115884455062174e-195
6.921000000000000485e-01 1.121177256926405577e-14 1.201673758184422388e-73 7.878705096434592677e-191
6.921999999999999265e-01 1.939754141316038878e-14 7.061254876668043065e-72 2.710071876692058368e-186
6.923000000000000265e-01 3.339652414415233605e-14 3.956532322643960567e-70 8.279867176159259519e-182
6.924000000000000155e-01 5.721790078141557993e-14 2.113626394433964652e-68 2.246153694994499018e-177
6.925000000000000044e-01 9.755118986921395400e-14 1.076380429274847011e-66 5.408622290315949203e-173
6.926000000000001044e-01 1.654996872804573827e-13 5.224816508224604324e-65 1.155641308590256289e-168
6.927000000000000934e-01 2.793957047016937865e-13 2.417062147350689591e-63 2.190319147456459779e-164
6.928000000000000824e-01 4.693471962463404240e-13 1.065516503033649711e-61 3.681281028364640632e-160
6.928999999999999604e-01 7.845393425077683199e-13 4.475405769797073043e-60 5.484760052168210276e-156
6.930000000000000604e-01 1.304894174757864174e-12 1.790808005590936922e-58 7.241754406484618060e-152
6.931000000000000494e-01 2.159583596732235138e-12 6.825818270258284235e-57 8.470682635945411790e-148
6.932000000000000384e-01 3.556256142447251554e-12 2.477960739062598907e-55 8.774916378203706733e-144
6.933000000000000274e-01 5.826912330407608019e-12 8.566693968065598621e-54 8.047843990468497828e-140
6.934000000000001274e-01 9.499495619913341642e-12 2.820048293822313165e-52 6.532668943074274954e-136
6.935000000000000053e-01 1.540896346308133085e-11 8.838322204457348638e-51 4.691798552086915555e-132
6.935999999999999943e-01 2.486860063955065267e-11 2.636931400249099144e-49 2.980500812306321372e-128
6.936999999999999833e-01 3.993269023006460322e-11 7.488407550052604472e-48 1.674188629100285315e-124
6.938000000000000833e-01 6.379686944513543104e-11 2.023894474654277889e-46 8.312838732188880790e-121
6.939000000000000723e-01 1.014046918021509353e-10 5.205234630650507425e-45 3.647448774653796042e-117
6.940000000000000613e-01 1.603610689763387240e-10 1.273776693407178194e-43 1.413804826745439000e-113
6.940999999999999392e-01 2.522995069285919311e-10 2.965469766380812352e-42 4.839674336471814505e-110
6.942000000000000393e-01 3.949160690653660259e-10 6.567313862715167043e-41 1.462634159132797974e-106
6.943000000000000282e-01 6.149765510484133932e-10 1.383321566616231893e-39 3.901351806072679933e-103
6.944000000000000172e-01 9.527349165104786918e-10 2.771065802453125701e-38 9.181671228008197879e-100
6.945000000000000062e-01 1.468384637767866807e-09 5.278447819222587782e-37 1.906002303009275565e-96
6.946000000000001062e-01 2.251418769530729445e-09 9.559801847496948730e-36 3.488899418483542191e-93
6.946999999999999842e-01 3.434123665257088372e-09 1.645972386428914497e-34 5.629703813672556604e-90
6.947999999999999732e-01 5.210906707370665157e-09 2.693860480828106117e-33 8.005415385719370264e-87
6.948999999999999622e-01 7.865800551931637998e-09 4.190391732746503073e-32 1.002889334767714217e-83
6.950000000000000622e-01 1.181134609059880629e-08 6.194544232948238700e-31 1.106529470276248495e-80
6.951000000000000512e-01 1.764319705432802933e-08 8.701371388006051083e-30 1.074940001423536098e-77
6.952000000000000401e-01 2.621628883885089067e-08 1.161283440327807880e-28 9.191525271192266211e-75
6.953000000000001402e-01 3.875036685646327982e-08 1.472345293810260569e-27 6.915830448793709817e-72
6.954000000000000181e-01 5.697518719542394331e-08 1.773172210841905633e-26 4.577476888993313532e-69
6.955000000000000071e-01 8.332891438510050890e-08 2.028201122289964751e-25 2.664435081109684715e-66
6.955999999999999961e-01 1.212272948486551331e-07 2.203125277031075473e-24 1.363495724829937493e-63
6.957000000000000961e-01 1.754262423901696630e-07 2.272400172241397831e-23 6.132604689376041804e-61
6.958000000000000851e-01 2.525067060660079456e-07 2.225345314533947684e-22 2.423550162873906092e-58
6.959000000000000741e-01 3.615182751786998247e-07 2.068838919501250418e-21 8.412955797691095601e-56
6.959999999999999520e-01 5.148270745838478316e-07 1.825670761254787175e-20 2.564536294091217138e-53
6.960999999999999410e-01 7.292242519817194737e-07 1.529096045655967758e-19 6.862893118740548849e-51
6.962000000000000410e-01 1.027363842438752925e-06 1.215384675215928245e-18 1.611827845967423326e-48
6.963000000000000300e-01 1.439613018693099056e-06 9.166631094336791564e-18 3.321378674281223313e-46
6.964000000000000190e-01 2.006413586615161400e-06 6.559537771325198211e-17 6.003190596333877831e-44
6.965000000000001190e-01 2.781270791494760819e-06 4.453022022231886648e-16 9.514499526462512887e-42
6.965999999999999970e-01 3.834503582041308905e-06 2.867512805898931274e-15 1.321923477622769420e-39
6.966999999999999860e-01 5.257908693512848135e-06 1.751361347540638602e-14 1.609607927344865715e-37
6.967999999999999750e-01 7.170508202755321407e-06 1.014418451549618518e-13 1.717135533026723622e-35
6.969000000000000750e-01 9.725565155673378086e-06 5.571610889899523561e-13 1.604491426763419769e-33
6.970000000000000639e-01 1.311906264470835408e-05 2.901470179106689062e-12 1.312794190809257651e-31
6.971000000000000529e-01 1.759984606518963051e-05 1.432454170623002392e-11 9.402877573296513460e-30
6.971999999999999309e-01 2.348162351996485107e-05 6.703790209457255391e-11 5.893980335464153831e-28
6.972999999999999199e-01 3.115700239464546962e-05 2.973644683502139656e-10 3.232359326794043187e-26
6.974000000000000199e-01 4.111370760413387437e-05 1.250082879132244831e-09 1.550505566572470357e-24
6.975000000000000089e-01 5.395307535133333734e-05 4.979914382532745239e-09 6.503541005433149420e-23
6.975999999999999979e-01 7.041084190403761305e-05 1.879709399620676778e-08 2.384678427061500876e-21
6.977000000000000979e-01 9.138014664095520676e-05 6.721990936081879362e-08 7.641772488492979323e-20
6.978000000000000869e-01 1.179365398287420008e-04 2.277174349844298303e-07 2.139558213877436426e-18
6.978999999999999648e-01 1.513646266866437099e-04 7.306994005941911697e-07 5.232408586791905056e-17
6.979999999999999538e-01 1.931857901747283980e-04 2.220641547541623794e-06 1.117400818481920239e-15
6.981000000000000538e-01 2.451862174764473799e-04 6.390998716103043558e-06 2.083189669815844578e-14
6.982000000000000428e-01 3.094442136437200929e-04 1.741658728672229218e-05 3.389567485485608543e-13
6.983000000000000318e-01 3.883555275222593320e-04 4.493814507483778579e-05 4.812148370487878513e-12
6.984000000000000208e-01 4.846551502679099458e-04 1.097687844356671626e-04 5.959324851880050578e-11
6.984999999999998987e-01 6.014337892933038516e-04 2.538097344589064757e-04 6.435806597833272847e-10
6.985999999999999988e-01 7.421469874973880658e-04 5.554662475111425603e-04 6.059570055630570876e-09
6.986999999999999877e-01 9.106146693006025904e-04 1.150486505216008612e-03 4.972777820894520305e-08
6.987999999999999767e-01 1.111008774014908508e-03 2.254937547594790086e-03 3.555991672641132146e-07
6.989000000000000767e-01 1.347826607388177183e-03 4.181879670253254265e-03 2.215202191928849544e-06
6.990000000000000657e-01 1.625847628033384121e-03 7.337492572220949590e-03 1.201832677217104974e-05
6.990999999999999437e-01 1.950071609294991033e-03 1.217918611997382584e-02 5.677278649099115344e-05
6.991999999999999327e-01 2.325636497961349521e-03 1.912224398882193116e-02 2.334479619317761118e-04
6.993000000000000327e-01 2.757714842148427034e-03 2.839652592123517033e-02 8.353765756118331333e-04
6.994000000000000217e-01 3.251388386841475540e-03 3.987983381871416932e-02 2.600794558629077047e-03
6.995000000000000107e-01 3.811501331945195414e-03 5.296140347789659447e-02 7.042893834789264347e-03
6.995999999999999996e-01 4.442493797241020212e-03 6.650283110080787430e-02 1.658471269831181261e-02
6.996999999999999886e-01 5.148218211396393858e-03 7.894997952498278293e-02 3.395216371037521746e-02
6.997999999999999776e-01 5.931742593956704397e-03 8.860375726326066848e-02 6.041172577639035424e-02
6.998999999999999666e-01 6.795145973363777431e-03 9.399348149189826196e-02 9.340315077700700463e-02
6.999999999999999556e-01 7.739312411382615400e-03 9.424239883412922902e-02 1.254530332180835706e-01
7.001000000000000556e-01 8.763731207149506180e-03 8.930087579852746815e-02 1.463435799598153675e-01
7.002000000000000446e-01 9.866311749850401394e-03 7.996205848562765173e-02 1.482290202467677620e-01
7.003000000000000336e-01 1.104322209411081994e-02 6.765336971537012911e-02 1.303331012596535554e-01
7.003999999999999115e-01 1.228876056961610008e-02 5.407926395234997907e-02 9.945662711853502091e-02
7.005000000000000115e-01 1.359526954017296202e-02 4.083823233375404038e-02 6.585163014528025438e-02
7.006000000000000005e-01 1.495309974958839404e-02 2.913112019704342665e-02 3.782249538955977097e-02
7.006999999999999895e-01 1.635063250820543296e-02 1.962732429374442963e-02 1.884006808820531259e-02
7.008000000000000895e-01 1.777436528945563338e-02 1.248931375629539452e-02 8.136956058028580949e-03
7.009000000000000785e-01 1.920906415534685829e-02 7.504985407484343618e-03 3.046407906513777346e-03
7.009999999999999565e-01 2.063798388431091826e-02 4.258488707835102541e-03 9.884640969179399154e-04
7.010999999999999455e-01 2.204315383271164205e-02 2.281478822440675437e-03 2.778955064188468613e-04
7.011999999999999345e-01 2.340572455439588959e-02 1.153968509175752350e-03 6.767866769500700233e-05
7.013000000000000345e-01 2.470636718061800310e-02 5.509975817537440378e-04 1.427494612598858722e-05
7.014000000000000234e-01 2.592571469294276121e-02 2.483394238971595972e-04 2.607073069482108310e-06
7.015000000000000124e-01 2.704483167270230193e-02 1.056438678016442562e-04 4.121853443446171927e-07
7.015999999999998904e-01 2.804569704718348766e-02 4.241391528002046445e-05 5.640245624445496342e-08
7.016999999999999904e-01 2.891168291750960406e-02 1.606945279226013897e-05 6.678456419941976475e-09
7.017999999999999794e-01 2.962801186318960930e-02 5.744947736526120316e-06 6.841230963108332670e-10
7.018999999999999684e-01 3.018217524874042268e-02 1.937882268828181548e-06 6.061512021026816819e-11
7.020000000000000684e-01 3.056429603913631346e-02 6.167220634898563574e-07 4.644358921523966941e-12
7.021000000000000574e-01 3.076742144454308603e-02 1.851557886671715549e-07 3.076658230474708641e-13
7.021999999999999353e-01 3.078773328789001507e-02 5.243680141176978207e-08 1.761785748563330852e-14
7.022999999999999243e-01 3.062466720555001229e-02 1.400722240850272754e-08 8.718867641821199040e-16
7.023999999999999133e-01 3.028093548819290465e-02 3.528995570692521428e-09 3.728328537812411127e-17
7.025000000000000133e-01 2.976245235744967924e-02 8.384946009340186244e-10 1.377306122609383293e-18
7.026000000000000023e-01 2.907816453916928917e-02 1.878740549748523535e-10 4.394660277822324824e-20
7.026999999999999913e-01 2.823979392019564799e-02 3.969342318281947094e-11 1.210922108277974928e-21
7.028000000000000913e-01 2.726150265326676356e-02 7.907220623770210897e-12 2.880858836495383042e-23
7.028999999999999693e-01 2.615949411406786815e-02 1.485085994672318294e-12 5.916470507863453476e-25
7.029999999999999583e-01 2.495156546552623755e-02 2.629488212846239523e-13 1.048720575129736963e-26
7.030999999999999472e-01 2.365662913327449407e-02 4.388870151571125034e-14 1.604116778957623895e-28
7.032000000000000473e-01 2.229422118536350181e-02 6.905047744739189242e-15 2.116973442725512342e-30
7.033000000000000362e-01 2.088401442929876603e-02 1.023962965119596477e-15 2.410036442667240275e-32
7.034000000000000252e-01 1.944535303354554337e-02 1.431123728173146045e-16 2.366396737084679734e-34
7.034999999999999032e-01 1.799682373902073210e-02 1.885028231986366066e-17 2.003713868420363438e-36
7.035999999999998922e-01 1.655587637703335654e-02 2.339802926739986242e-18 1.462843963980139551e-38
7.036999999999999922e-01 1.513850361011988450e-02 2.736749747379657741e-19 9.206741554264756256e-41
7.037999999999999812e-01 1.375898673601244626e-02 3.016196110276374218e-20 4.994506873394528513e-43
7.038999999999999702e-01 1.242971122070833483e-02 3.132042965939892999e-21 2.335031086408120508e-45
7.040000000000000702e-01 1.116105252632678194e-02 3.064186118605171871e-22 9.406811067538408189e-48
7.040999999999999481e-01 9.961329928399901765e-03 2.824217948134972890e-23 3.264975073785281150e-50
7.041999999999999371e-01 8.836823503059882540e-03 2.452189171673499376e-24 9.762132872944532532e-53
7.042999999999999261e-01 7.791847406294610985e-03 2.005673365932741058e-25 2.514076013408207055e-55
7.044000000000000261e-01 6.828871025480775722e-03 1.545238222292693308e-26 5.576018074236621455e-58
7.045000000000000151e-01 5.948678585870125629e-03 1.121344229687231136e-27 1.064944740042407474e-60
7.046000000000000041e-01 5.150557333694505240e-03 7.664269854302943911e-29 1.751193010595137460e-63
7.046999999999998820e-01 4.432504456842287395e-03 4.933689139309080348e-30 2.479098631562759907e-66
7.047999999999999821e-01 3.791443382493533184e-03 2.991049307871645563e-31 3.021044919831961945e-69
7.048999999999999710e-01 3.223440930782346323e-03 1.707688336804788776e-32 3.168668868582143977e-72
7.049999999999999600e-01 2.723917915291671626e-03 9.181427046394337359e-34 2.860273410381064051e-75
7.050999999999999490e-01 2.287847072795947193e-03 4.648495704707715835e-35 2.221805454901120511e-78
7.052000000000000490e-01 1.909933585975840493e-03 2.216156116489308793e-36 1.485016081217098641e-81
7.053000000000000380e-01 1.584774851765281519e-03 9.948550742427296040e-38 8.539725730200998632e-85
7.053999999999999160e-01 1.306997473693092410e-03 4.205112490467801261e-39 4.224812969405996697e-88
