#     theta/pi                    M=1000                   M=10000                 M=25000

6.900000000000000577e-01 1.438482148018610178e-38 0.000000000000000000e+00 0.000000000000000000e+00
6.901000000000000467e-01 6.865675529055983585e-38 0.000000000000000000e+00 0.000000000000000000e+00
6.902000000000001467e-01 3.250309792705082433e-37 0.000000000000000000e+00 0.000000000000000000e+00
6.903000000000001357e-01 1.525825172064198122e-36 0.000000000000000000e+00 0.000000000000000000e+00
6.904000000000000137e-01 7.100676233277489788e-36 0.000000000000000000e+00 0.000000000000000000e+00
6.905000000000000027e-01 3.274813657878388920e-35 0.000000000000000000e+00 0.000000000000000000e+00
6.906000000000001027e-01 1.496384585006791870e-34 0.000000000000000000e+00 0.000000000000000000e+00
6.907000000000000917e-01 6.772488899235905310e-34 0.000000000000000000e+00 0.000000000000000000e+00
6.908000000000000806e-01 3.035159472303219783e-33 0.000000000000000000e+00 0.000000000000000000e+00
6.909000000000000696e-01 1.346553650825368913e-32 0.000000000000000000e+00 0.000000000000000000e+00
6.909999999999999476e-01 5.912303848105565279e-32 0.000000000000000000e+00 0.000000000000000000e+00
6.911000000000000476e-01 2.568408306064734402e-31 0.000000000000000000e+00 0.000000000000000000e+00
6.912000000000000366e-01 1.103647308428096955e-30 0.000000000000000000e+00 0.000000000000000000e+00
6.913000000000000256e-01 4.689662920501792707e-30 0.000000000000000000e+00 0.000000000000000000e+00
6.914000000000001256e-01 1.970088446391540982e-29 0.000000000000000000e+00 0.000000000000000000e+00
6.915000000000001146e-01 8.179973817983330854e-29 0.000000000000000000e+00 0.000000000000000000e+00
6.915999999999999925e-01 3.356071438751123156e-28 0.000000000000000000e+00 0.000000000000000000e+00
6.916999999999999815e-01 1.360242432962483458e-27 2.276167122790357995e-286 0.000000000000000000e+00
6.918000000000000815e-01 5.445049402260732237e-27 4.195637233851799875e-280 0.000000000000000000e+00
6.919000000000000705e-01 2.152207356598375219e-26 8.204271553127725986e-274 0.000000000000000000e+00
6.920000000000000595e-01 8.397721650814772031e-26 1.425982805947060911e-267 0.000000000000000000e+00
6.921000000000000485e-01 3.233956334295685715e-25 2.196809069236262495e-261 0.000000000000000000e+00
6.921999999999999265e-01 1.228865502434330684e-24 2.991364096216520559e-255 0.000000000000000000e+00
6.923000000000000265e-01 4.606555426232146199e-24 3.590577973276637425e-249 0.000000000000000000e+00
6.924000000000000155e-01 1.703163175164754269e-23 3.788969493386880021e-243 0.000000000000000000e+00
6.925000000000000044e-01 6.209441650136737170e-23 3.505966135658271445e-237 0.000000000000000000e+00
6.926000000000001044e-01 2.231904392296296536e-22 2.837378729914981661e-231 0.000000000000000000e+00
6.927000000000000934e-01 7.907475956992368045e-22 2.003402164625024621e-225 0.000000000000000000e+00
6.928000000000000824e-01 2.760921497468344693e-21 1.231129573700172942e-219 0.000000000000000000e+00
6.928999999999999604e-01 9.498190514258786358e-21 6.568907908679155835e-214 0.000000000000000000e+00
6.930000000000000604e-01 3.218972179805173033e-20 3.036203514558197221e-208 0.000000000000000000e+00
6.931000000000000494e-01 1.074494326318257138e-19 1.212933433116968680e-202 0.000000000000000000e+00
6.932000000000000384e-01 3.532033015081864404e-19 4.178853263054514655e-197 0.000000000000000000e+00
6.933000000000000274e-01 1.143153141663938953e-18 1.238975182779379029e-191 0.000000000000000000e+00
6.934000000000001274e-01 3.642256690896341754e-18 3.154643071420506082e-186 0.000000000000000000e+00
6.935000000000000053e-01 1.142227824565666735e-17 6.884022100161248133e-181 0.000000000000000000e+00
6.935999999999999943e-01 3.525191123442820070e-17 1.284950293118247819e-175 0.000000000000000000e+00
6.936999999999999833e-01 1.070518451881240700e-16 2.047648120386957883e-170 0.000000000000000000e+00
6.938000000000000833e-01 3.198328845687031542e-16 2.780655803480097178e-165 0.000000000000000000e+00
6.939000000000000723e-01 9.399560332501857350e-16 3.212069689553608434e-160 0.000000000000000000e+00
6.940000000000000613e-01 2.716986645694494417e-15 3.150766031891205056e-155 0.000000000000000000e+00
6.940999999999999392e-01 7.723339670898524254e-15 2.620070695381476006e-150 0.000000000000000000e+00
6.942000000000000393e-01 2.158761190267761500e-14 1.844047177843487846e-145 0.000000000000000000e+00
6.943000000000000282e-01 5.932422723671729980e-14 1.096765523464062445e-140 0.000000000000000000e+00
6.944000000000000172e-01 1.602639290438379561e-13 5.504054232384822001e-136 0.000000000000000000e+00
6.945000000000000062e-01 4.255649528602107596e-13 2.327269846685429467e-131 0.000000000000000000e+00
6.946000000000001062e-01 1.110642832397264794e-12 8.279367613710656098e-127 0.000000000000000000e+00
6.946999999999999842e-01 2.848495459716839389e-12 2.474846361245168940e-122 0.000000000000000000e+00
6.947999999999999732e-01 7.178689355313506956e-12 6.207789112843904067e-118 7.868901737834115927e-285
