#    Re(beta)        Im(beta)

  -1.3005859e-01   1.1696873e-04
  -1.3014546e-01   6.1659172e-04
  -1.3029596e-01   1.5166063e-03
  -1.3050022e-01   2.8190665e-03
  -1.3074391e-01   4.5264019e-03
  -1.3100832e-01   6.6412776e-03
  -1.3127032e-01   9.1662274e-03
  -1.3150246e-01   1.2103192e-02
  -1.3167302e-01   1.5452979e-02
  -1.3174617e-01   1.9214660e-02
  -1.3168218e-01   2.3384904e-02
  -1.3143767e-01   2.7957274e-02
  -1.3096606e-01   3.2921495e-02
  -1.3021803e-01   3.8262721e-02
  -1.2914214e-01   4.3960813e-02
  -1.2768559e-01   4.9989664e-02
  -1.2579508e-01   5.6316595e-02
  -1.2341783e-01   6.2901849e-02
  -1.2050265e-01   6.9698211e-02
  -1.1700121e-01   7.6650786e-02
  -1.1286925e-01   8.3696958e-02
  -1.0806799e-01   9.0766547e-02
  -1.0256542e-01   9.7782180e-02
  -9.6337704e-02   1.0465989e-01
  -8.9370376e-02   1.1130995e-01
  -8.1659584e-02   1.1763789e-01
  -7.3213125e-02   1.2354580e-01
  -6.4051338e-02   1.2893370e-01
  -5.4207811e-02   1.3370124e-01
  -4.3729869e-02   1.3774936e-01
  -3.2678830e-02   1.4098224e-01
  -2.1130013e-02   1.4330916e-01
  -9.1724855e-03   1.4464658e-01
   3.0914609e-03   1.4492013e-01
   1.5547118e-02   1.4406666e-01
   2.8068466e-02   1.4203624e-01
   4.0519583e-02   1.3879412e-01
   5.2756388e-02   1.3432256e-01
   6.4628724e-02   1.2862256e-01
   7.5982785e-02   1.2171537e-01
   8.6663911e-02   1.1364366e-01
   9.6519714e-02   1.0447245e-01
   1.0540352e-01   9.4289456e-02
   1.1317805e-01   8.3205002e-02
   1.1971927e-01   7.1351191e-02
   1.2492028e-01   5.8880423e-02
   1.2869505e-01   4.5963109e-02
   1.3098195e-01   3.2784599e-02
   1.3174665e-01   1.9541366e-02
   1.3098452e-01   6.4365002e-03
   1.3098452e-01  -6.4365002e-03
   1.3174665e-01  -1.9541366e-02
   1.3098195e-01  -3.2784599e-02
   1.2869505e-01  -4.5963109e-02
   1.2492028e-01  -5.8880423e-02
   1.1971927e-01  -7.1351191e-02
   1.1317805e-01  -8.3205002e-02
   1.0540352e-01  -9.4289456e-02
   9.6519714e-02  -1.0447245e-01
   8.6663911e-02  -1.1364366e-01
   7.5982785e-02  -1.2171537e-01
   6.4628724e-02  -1.2862256e-01
   5.2756388e-02  -1.3432256e-01
   4.0519583e-02  -1.3879412e-01
   2.8068466e-02  -1.4203624e-01
   1.5547118e-02  -1.4406666e-01
   3.0914608e-03  -1.4492013e-01
  -9.1724855e-03  -1.4464658e-01
  -2.1130013e-02  -1.4330916e-01
  -3.2678830e-02  -1.4098224e-01
  -4.3729869e-02  -1.3774936e-01
  -5.4207811e-02  -1.3370124e-01
  -6.4051338e-02  -1.2893370e-01
  -7.3213125e-02  -1.2354580e-01
  -8.1659584e-02  -1.1763789e-01
  -8.9370376e-02  -1.1130995e-01
  -9.6337704e-02  -1.0465989e-01
  -1.0256542e-01  -9.7782180e-02
  -1.0806799e-01  -9.0766547e-02
  -1.1286925e-01  -8.3696958e-02
  -1.1700121e-01  -7.6650786e-02
  -1.2050265e-01  -6.9698211e-02
  -1.2341783e-01  -6.2901849e-02
  -1.2579508e-01  -5.6316595e-02
  -1.2768559e-01  -4.9989664e-02
  -1.2914214e-01  -4.3960813e-02
  -1.3021803e-01  -3.8262721e-02
  -1.3096606e-01  -3.2921495e-02
  -1.3143767e-01  -2.7957274e-02
  -1.3168218e-01  -2.3384904e-02
  -1.3174617e-01  -1.9214660e-02
  -1.3167302e-01  -1.5452979e-02
  -1.3150246e-01  -1.2103192e-02
  -1.3127032e-01  -9.1662274e-03
  -1.3100832e-01  -6.6412776e-03
  -1.3074391e-01  -4.5264019e-03
  -1.3050022e-01  -2.8190665e-03
  -1.3029596e-01  -1.5166063e-03
  -1.3014546e-01  -6.1659175e-04
  -1.3005859e-01  -1.1696873e-04
