#    Re(beta)        Im(beta)

  -9.9999960e-01   8.9935374e-04
  -9.9998878e-01   4.7376591e-03
  -9.9993227e-01   1.1638915e-02
  -9.9976676e-01   2.1596968e-02
  -9.9940125e-01   3.4599636e-02
  -9.9871755e-01   5.0628546e-02
  -9.9757097e-01   6.9657501e-02
  -9.9579125e-01   9.1650397e-02
  -9.9318379e-01   1.1655880e-01
  -9.8953118e-01   1.4431923e-01
  -9.8459504e-01   1.7485024e-01
  -9.7811833e-01   2.0804935e-01
  -9.6982809e-01   2.4378981e-01
  -9.5943867e-01   2.8191745e-01
  -9.4665543e-01   3.2224759e-01
  -9.3117907e-01   3.6456213e-01
  -9.1271044e-01   4.0860696e-01
  -8.9095593e-01   4.5408979e-01
  -8.6563330e-01   5.0067853e-01
  -8.3647810e-01   5.4800036e-01
  -8.0325037e-01   5.9564154e-01
  -7.6574172e-01   6.4314821e-01
  -7.2378251e-01   6.9002817e-01
  -6.7724918e-01   7.3575373e-01
  -6.2607130e-01   7.7976582e-01
  -5.7023846e-01   8.2147921e-01
  -5.0980652e-01   8.6028909e-01
  -4.4490317e-01   8.9557868e-01
  -3.7573253e-01   9.2672815e-01
  -3.0257858e-01   9.5312444e-01
  -2.2580718e-01   9.7417202e-01
  -1.4586655e-01   9.8930428e-01
  -6.3285966e-02   9.9799543e-01
   2.1327318e-02   9.9977255e-01
   1.0729319e-01   9.9422742e-01
   1.9386568e-01   9.8102808e-01
   2.8024198e-01   9.5992939e-01
   3.6557321e-01   9.3078259e-01
   4.4897695e-01   8.9354334e-01
   5.2955123e-01   8.4827796e-01
   6.0638965e-01   7.9516765e-01
   6.7859743e-01   7.3451040e-01
   7.4530791e-01   6.6672042e-01
   8.0569909e-01   5.9232506e-01
   8.5900981e-01   5.1195913e-01
   9.0455515e-01   4.2635664e-01
   9.4174055e-01   3.3634022e-01
   9.7007430e-01   2.4280825e-01
   9.8917804e-01   1.4672016e-01
   9.9879484e-01   4.9080177e-02
   9.9879484e-01  -4.9080177e-02
   9.8917804e-01  -1.4672016e-01
   9.7007430e-01  -2.4280825e-01
   9.4174055e-01  -3.3634022e-01
   9.0455515e-01  -4.2635664e-01
   8.5900981e-01  -5.1195913e-01
   8.0569909e-01  -5.9232506e-01
   7.4530791e-01  -6.6672042e-01
   6.7859743e-01  -7.3451040e-01
   6.0638965e-01  -7.9516765e-01
   5.2955123e-01  -8.4827796e-01
   4.4897695e-01  -8.9354334e-01
   3.6557321e-01  -9.3078259e-01
   2.8024198e-01  -9.5992939e-01
   1.9386568e-01  -9.8102808e-01
   1.0729319e-01  -9.9422742e-01
   2.1327318e-02  -9.9977255e-01
  -6.3285966e-02  -9.9799543e-01
  -1.4586655e-01  -9.8930428e-01
  -2.2580718e-01  -9.7417202e-01
  -3.0257858e-01  -9.5312444e-01
  -3.7573253e-01  -9.2672815e-01
  -4.4490317e-01  -8.9557868e-01
  -5.0980652e-01  -8.6028909e-01
  -5.7023846e-01  -8.2147921e-01
  -6.2607130e-01  -7.7976582e-01
  -6.7724918e-01  -7.3575373e-01
  -7.2378251e-01  -6.9002817e-01
  -7.6574172e-01  -6.4314821e-01
  -8.0325037e-01  -5.9564154e-01
  -8.3647810e-01  -5.4800036e-01
  -8.6563330e-01  -5.0067853e-01
  -8.9095593e-01  -4.5408979e-01
  -9.1271044e-01  -4.0860696e-01
  -9.3117907e-01  -3.6456213e-01
  -9.4665543e-01  -3.2224759e-01
  -9.5943867e-01  -2.8191745e-01
  -9.6982809e-01  -2.4378981e-01
  -9.7811833e-01  -2.0804935e-01
  -9.8459504e-01  -1.7485024e-01
  -9.8953118e-01  -1.4431923e-01
  -9.9318379e-01  -1.1655880e-01
  -9.9579125e-01  -9.1650397e-02
  -9.9757097e-01  -6.9657501e-02
  -9.9871755e-01  -5.0628546e-02
  -9.9940125e-01  -3.4599636e-02
  -9.9976676e-01  -2.1596968e-02
  -9.9993227e-01  -1.1638915e-02
  -9.9998878e-01  -4.7376591e-03
  -9.9999960e-01  -8.9935374e-04
