#     theta/pi                    M=1000                   M=10000                 M=25000

6.400000000000000133e-01 7.547187914902752832e-16 4.596992903970682789e-72 2.374323175494019892e-188
6.401000000000001133e-01 1.141957133910056373e-15 8.822565374233641800e-71 4.842466313756537751e-185
6.402000000000001023e-01 1.724202817717262330e-15 1.655131963197263468e-69 9.333320020787918000e-182
6.403000000000000913e-01 2.597742873096443293e-15 3.034863806317599805e-68 1.699530561721206718e-178
6.403999999999999693e-01 3.905427303843894890e-15 5.438341316437661240e-67 2.922972839966663824e-175
6.405000000000000693e-01 5.858694188978856423e-15 9.522827205551713078e-66 4.746816787802068116e-172
6.406000000000000583e-01 8.769770620988618236e-15 1.629253746491635966e-64 7.276795204507848674e-169
6.407000000000000473e-01 1.309863377218213493e-14 2.723239281086500560e-63 1.052725453618305786e-165
6.408000000000000362e-01 1.952132630033819680e-14 4.446391207251715230e-62 1.436824960923697907e-162
6.409000000000001362e-01 2.902908586207479972e-14 7.090952011496956815e-61 1.849617958796194882e-159
6.410000000000000142e-01 4.307182239531792101e-14 1.104399786868991227e-59 2.245041980700525674e-156
6.411000000000000032e-01 6.376525205446497535e-14 1.679664432369543022e-58 2.568651381065564279e-153
6.411999999999999922e-01 9.418916014607661792e-14 2.494263884019204267e-57 2.769474027586004137e-150
6.413000000000000922e-01 1.388157711614521033e-13 3.616053197449314072e-56 2.813022349615842391e-147
6.414000000000000812e-01 2.041233727774219843e-13 5.117387499230719158e-55 2.690941758297350778e-144
6.415000000000000702e-01 2.994729948978967687e-13 7.068562063695577433e-54 2.423601784057750664e-141
6.415999999999999481e-01 4.383575906062093935e-13 9.528641339210745607e-53 2.054536395923231602e-138
6.417000000000000481e-01 6.401772382337121570e-13 1.253416842294613488e-51 1.638818733621429957e-135
6.418000000000000371e-01 9.327550742465109011e-13 1.608688185070941318e-50 1.229647209617752294e-132
6.419000000000000261e-01 1.355893361368289607e-12 2.014219642501210257e-49 8.676205126239040483e-130
6.420000000000001261e-01 1.966385956722339873e-12 2.460066488115972613e-48 5.754996051199159662e-127
6.421000000000001151e-01 2.845064176726537563e-12 2.930475031328895502e-47 3.587497093044076551e-124
6.421999999999999931e-01 4.106673421531787462e-12 3.404286551119877300e-46 2.101037831551932750e-121
6.422999999999999821e-01 5.913679069008931734e-12 3.856172704787940019e-45 1.155674551704631190e-118
6.423999999999999710e-01 8.495510340191209312e-12 4.258671526310366131e-44 5.968418386953513997e-116
6.425000000000000711e-01 1.217530770627913533e-11 4.584835562254433858e-43 2.893122057185742178e-113
6.426000000000000600e-01 1.740699285998364868e-11 4.811158007755080896e-42 1.315887846819837391e-110
6.427000000000000490e-01 2.482649623984315744e-11 4.920345798540490300e-41 5.614040327356509089e-108
6.428000000000001490e-01 3.532234231447794075e-11 4.903490307064196171e-40 2.245927279270221976e-105
6.429000000000000270e-01 5.013262095091039773e-11 4.761259710258421545e-39 8.422429834365193414e-103
6.430000000000000160e-01 7.097781248432678601e-11 4.503892991781862699e-38 2.959768589570813457e-100
6.431000000000000050e-01 1.002421771952548761e-10 4.149982871451532126e-37 9.743453110103230640e-98
6.432000000000001050e-01 1.412207159177552195e-10 3.724248203760451635e-36 3.003710102657137734e-95
6.433000000000000940e-01 1.984543782011525705e-10 3.254667593893220436e-35 8.668567321820832358e-93
6.434000000000000830e-01 2.781836489068466375e-10 2.769437842897573033e-34 2.341176113926689782e-90
6.434999999999999609e-01 3.889604076288332507e-10 2.294216630579126763e-33 5.915215410352588426e-88
6.435999999999999499e-01 5.424706933615761501e-10 1.850016105233915295e-32 1.397680989487968444e-85
6.437000000000000499e-01 7.546375597274281471e-10 1.451960990489827793e-31 3.087428199064167142e-83
6.438000000000000389e-01 1.047094629545697826e-09 1.108951141218442926e-30 6.373621869371462435e-81
6.439000000000000279e-01 1.449148570631923331e-09 8.241137681195763617e-30 1.229205919684150833e-78
6.440000000000001279e-01 2.000384156502010763e-09 5.958241285827073028e-29 2.213906136769546652e-76
6.441000000000000059e-01 2.754110870703359598e-09 4.190285564873373318e-28 3.722513246083164863e-74
6.441999999999999948e-01 3.781907647978090063e-09 2.866169180453181747e-27 5.841186018965173578e-72
6.442999999999999838e-01 5.179595352265385428e-09 1.906471538410891290e-26 8.550623422298304718e-70
6.444000000000000838e-01 7.075058647204496129e-09 1.233009309273550589e-25 1.167265538511280426e-67
6.445000000000000728e-01 9.638454443181977157e-09 7.752588168843342999e-25 1.485452698538324651e-65
6.446000000000000618e-01 1.309548839193441924e-08 4.738138868286686125e-24 1.761596167548578542e-63
6.446999999999999398e-01 1.774462020893924073e-08 2.814398098774162571e-23 1.946042326841625587e-61
