#     theta/pi                    M=1000                   M=10000                 M=25000

6.900000000000000577e-01 2.244082747106416605e-38 0.000000000000000000e+00 0.000000000000000000e+00
6.901000000000000467e-01 1.032873232933023228e-37 0.000000000000000000e+00 0.000000000000000000e+00
6.902000000000001467e-01 4.727248714738914912e-37 0.000000000000000000e+00 0.000000000000000000e+00
6.903000000000001357e-01 2.150627876496900956e-36 0.000000000000000000e+00 0.000000000000000000e+00
6.904000000000000137e-01 9.722101878500418745e-36 0.000000000000000000e+00 0.000000000000000000e+00
6.905000000000000027e-01 4.365525928546618316e-35 0.000000000000000000e+00 0.000000000000000000e+00
6.906000000000001027e-01 1.946430084571336152e-34 0.000000000000000000e+00 0.000000000000000000e+00
6.907000000000000917e-01 8.614146401871882623e-34 0.000000000000000000e+00 0.000000000000000000e+00
6.908000000000000806e-01 3.782713523387532173e-33 0.000000000000000000e+00 0.000000000000000000e+00
6.909000000000000696e-01 1.647632324191501987e-32 0.000000000000000000e+00 0.000000000000000000e+00
6.909999999999999476e-01 7.115937749641689818e-32 0.000000000000000000e+00 0.000000000000000000e+00
6.911000000000000476e-01 3.046280373547893970e-31 0.000000000000000000e+00 0.000000000000000000e+00
6.912000000000000366e-01 1.292189173232288916e-30 0.000000000000000000e+00 0.000000000000000000e+00
6.913000000000000256e-01 5.429442122599507896e-30 0.000000000000000000e+00 0.000000000000000000e+00
6.914000000000001256e-01 2.258985725894020297e-29 0.000000000000000000e+00 0.000000000000000000e+00
6.915000000000001146e-01 9.303775102945587972e-29 0.000000000000000000e+00 0.000000000000000000e+00
6.915999999999999925e-01 3.791863539795378521e-28 0.000000000000000000e+00 0.000000000000000000e+00
6.916999999999999815e-01 1.528820384499101729e-27 0.000000000000000000e+00 0.000000000000000000e+00
6.918000000000000815e-01 6.095863185291015670e-27 0.000000000000000000e+00 0.000000000000000000e+00
6.919000000000000705e-01 2.403011998986282154e-26 0.000000000000000000e+00 0.000000000000000000e+00
6.920000000000000595e-01 9.362417360101002876e-26 0.000000000000000000e+00 0.000000000000000000e+00
6.921000000000000485e-01 3.604152298954645547e-25 0.000000000000000000e+00 0.000000000000000000e+00
6.921999999999999265e-01 1.370488986359750063e-24 1.230874775822669177e-289 0.000000000000000000e+00
6.923000000000000265e-01 5.146143992967389936e-24 3.690838685978480065e-283 0.000000000000000000e+00
6.924000000000000155e-01 1.907662341161232183e-23 9.762071423257614448e-277 0.000000000000000000e+00
6.925000000000000044e-01 6.979367190914757843e-23 2.271351144549673317e-270 0.000000000000000000e+00
6.926000000000001044e-01 2.519474255942219615e-22 4.636577587111716657e-264 0.000000000000000000e+00
6.927000000000000934e-01 8.971604430679832527e-22 8.282345712074389574e-258 0.000000000000000000e+00
6.928000000000000824e-01 3.150548923061374540e-21 1.291366732189098766e-251 0.000000000000000000e+00
6.928999999999999604e-01 1.090813502378712515e-20 1.753115202354869429e-245 0.000000000000000000e+00
6.930000000000000604e-01 3.722698339151310896e-20 2.067219524071331136e-239 0.000000000000000000e+00
6.931000000000000494e-01 1.252004248595086016e-19 2.112297999265660569e-233 0.000000000000000000e+00
6.932000000000000384e-01 4.148533374348827483e-19 1.866035574291579317e-227 0.000000000000000000e+00
6.933000000000000274e-01 1.354026210893366523e-18 1.422037335395649774e-221 0.000000000000000000e+00
6.934000000000001274e-01 4.352199286762968739e-18 9.327926188541256142e-216 0.000000000000000000e+00
6.935000000000000053e-01 1.377361251255001712e-17 5.255636111189701955e-210 0.000000000000000000e+00
6.935999999999999943e-01 4.290966613057985927e-17 2.538288072244821382e-204 0.000000000000000000e+00
6.936999999999999833e-01 1.315661057342028505e-16 1.048739119374075104e-198 0.000000000000000000e+00
6.938000000000000833e-01 3.969451912167940335e-16 3.699699670784239473e-193 0.000000000000000000e+00
6.939000000000000723e-01 1.178238826084105319e-15 1.112308479890388517e-187 0.000000000000000000e+00
6.940000000000000613e-01 3.440119772465094107e-15 2.844832877752122066e-182 0.000000000000000000e+00
6.940999999999999392e-01 9.878135596584318285e-15 6.178732208415671827e-177 0.000000000000000000e+00
6.942000000000000393e-01 2.789098503258819203e-14 1.137670880155406945e-171 0.000000000000000000e+00
6.943000000000000282e-01 7.742281085439194540e-14 1.772952282116954399e-166 0.000000000000000000e+00
6.944000000000000172e-01 2.112620388445713727e-13 2.334821785940709836e-161 0.000000000000000000e+00
6.945000000000000062e-01 5.665720348810953330e-13 2.594324239667118962e-156 0.000000000000000000e+00
6.946000000000001062e-01 1.493158949600732955e-12 2.428679699824311848e-151 0.000000000000000000e+00
6.946999999999999842e-01 3.866452513247818717e-12 1.912833456672095279e-146 0.000000000000000000e+00
6.947999999999999732e-01 9.835940729422569820e-12 1.265767552994807929e-141 0.000000000000000000e+00
6.948999999999999622e-01 2.457869881234403808e-11 7.028016687492638190e-137 0.000000000000000000e+00
6.950000000000000622e-01 6.032358024897347075e-11 3.270157310435666207e-132 0.000000000000000000e+00
6.951000000000000512e-01 1.453946095276889048e-10 1.273617712984901048e-127 0.000000000000000000e+00
6.952000000000000401e-01 3.441061575686193975e-10 4.147093992337535109e-123 0.000000000000000000e+00
6.953000000000001402e-01 7.995979836822669855e-10 1.127728718792379284e-118 1.201934479142336752e-281
6.954000000000000181e-01 1.824065260936813960e-09 2.558376997680025871e-114 5.528295692037112593e-271
6.955000000000000071e-01 4.084650931087716615e-09 4.837132048482448290e-110 1.573947842727047122e-260
6.955999999999999961e-01 8.977883623691286883e-09 7.614827307080500557e-106 2.833241027592332562e-250
6.957000000000000961e-01 1.936680847007303638e-08 9.972099683239034862e-102 3.217330879806932229e-240
6.958000000000000851e-01 4.099867763341198076e-08 1.085409183717295266e-97 2.299863117340904704e-230
6.959000000000000741e-01 8.516751647254417323e-08 9.811296872125117581e-94 1.032824719527177430e-220
6.959999999999999520e-01 1.735949374863365366e-07 7.359538582343882737e-90 2.908321325153307110e-211
6.960999999999999410e-01 3.471583292906705457e-07 4.577731805593152548e-86 5.125894124197906112e-202
6.962000000000000410e-01 6.811080293117816438e-07 2.359548153119834276e-82 5.645149739856155613e-193
6.963000000000000300e-01 1.310915087015998130e-06 1.007181427270046682e-78 3.878581607000949715e-184
6.964000000000000190e-01 2.475012381393513230e-06 3.558170053194729942e-75 1.660046233588470469e-175
