#     theta/pi                    M=1000                   M=10000                 M=25000

6.400000000000000133e-01 1.229247664358992071e-04 1.111640543752776077e-45 1.787207023038567904e-104
6.401000000000001133e-01 1.425182446957782949e-04 9.044942128668761511e-45 2.851421545509880035e-102
6.402000000000001023e-01 1.649101996862492440e-04 7.220109292515416173e-44 4.336451120730540991e-100
6.403000000000000913e-01 1.904438445509146010e-04 5.653830766897234684e-43 6.284995501292514398e-98
6.403999999999999693e-01 2.194952354021102107e-04 4.342773038338746824e-42 8.679273499644502383e-96
6.405000000000000693e-01 2.524749698748085937e-04 3.271754783336049047e-41 1.141772127552680154e-93
6.406000000000000583e-01 2.898297412880645888e-04 2.417393678373506554e-40 1.430547560915651834e-91
6.407000000000000473e-01 3.320437012243202739e-04 1.751582205535768465e-39 1.706712899951861963e-89
6.408000000000000362e-01 3.796395786984420599e-04 1.244495700721449303e-38 1.938482164017629697e-87
6.409000000000001362e-01 4.331794996909398379e-04 8.669598385818932792e-38 2.095624817461467510e-85
6.410000000000000142e-01 4.932654467994977915e-04 5.921203267930683924e-37 2.155868202975895090e-83
6.411000000000000032e-01 5.605392952774832177e-04 3.964503627236023502e-36 2.110054833938693935e-81
6.411999999999999922e-01 6.356823589349348781e-04 2.601942593627280570e-35 1.964415645226713760e-79
6.413000000000000922e-01 7.194143774746611548e-04 1.673780716394532946e-34 1.739184748586225629e-77
6.414000000000000812e-01 8.124918759724021828e-04 1.055244304775807158e-33 1.463978352254462398e-75
6.415000000000000702e-01 9.157058276173556718e-04 6.519622650766693489e-33 1.171395171563893231e-73
6.415999999999999481e-01 1.029878552666016163e-03 3.947007901361469339e-32 8.907474682730623227e-72
6.417000000000000481e-01 1.155859790006385796e-03 2.341264375922807609e-31 6.435614540366044122e-70
6.418000000000000371e-01 1.294521882988689193e-03 1.360599791499146199e-30 4.416832084382976261e-68
6.419000000000000261e-01 1.446754028351851214e-03 7.745832527080335955e-30 2.878840942804722659e-66
6.420000000000001261e-01 1.613455546319423044e-03 4.319401383273452940e-29 1.781599766974710201e-64
6.421000000000001151e-01 1.795528141354718740e-03 2.359155108959045365e-28 1.046616047811256013e-62
